[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: AU;au;Audio;Sun Audio File;ContentRecognizerAU;Sun Audio File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: AVI;avi;Video;Audio Video Interleave File;ContentRecognizerResourceInterchangeFileFormat;Resource Interchange File Format;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: AW;aw;Document;Microsoft Answer Wizard;ContentRecognizerAW;Microsoft Answer Wizard;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: AdobeDCR;dcr;Other;Adobe Director Compressed Resource;ContentRecognizerAdobeDirectorCompressedResource;Adobe Director Compressed Resource;512;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: BDR;bdr;Document;Microsoft Border Support;ContentRecognizerBDR;Microsoft Border Support;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: BMP;bmp;Image;Windows Bitmap;ContentRecognizerBitmap;Windows Bitmap;512;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: BMPRaw;raw;Image;Windows Bitmap Data;ContentRecognizerBitmap;Windows Bitmap;512;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: BOO;boo;Document;Adobe FrameMaker;ContentRecognizerBOO;Adobe FrameMaker;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: BQY;bqy;Document;BrioQuery;ContentRecognizerBQY;BrioQuery;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: BTR;btr;Document;Btrieve Database;ContentRecognizerBTR;Btrieve Database;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CAB;cab;Archive;Cabinet File;ContentRecognizerCabinet;Microsoft Cabinet;512;1073741824
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CCP;ccp;Document;AutoCAD File;ContentRecognizerCCP;AutoCAD File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CDD;cdd;Image;CorelDraw File;ContentRecognizerCDD;CorelDraw File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CDR;cdr;Image;CorelDraw CDR Image;ContentRecognizerResourceInterchangeFileFormat;Resource Interchange File Format;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CDT;cdt;Image;CorelDraw CDT Template;ContentRecognizerResourceInterchangeFileFormat;Resource Interchange File Format;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CGD;cgd;Image;CricketGraph;ContentRecognizerCGD;CricketGraph;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CGG;cgg;Image;CricketGraph;ContentRecognizerCGG;CricketGraph;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CGT;cgt;Image;CorelDraw Template;ContentRecognizerCGT;CorelDraw Template;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CHM;chm;Document;Microsoft Compiled Help;ContentRecognizerCHM;Compiled HTML Help;32;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CLASS;class;Document;Java class file;ContentRecognizerCLASS;Java class file;128;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CLX;clx;Document;Dictionary File;ContentRecognizerCLX;Dictionary File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CMX;cmx;Image;CorelDraw CMX Metafile;ContentRecognizerResourceInterchangeFileFormat;Resource Interchange File Format;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CNT;cnt;Document;Microsoft Help Content File;ContentRecognizerCNT;Microsoft Help Content File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CPI;cpi;Document;Microsoft International Code Page;ContentRecognizerCPI;Microsoft International Code Page;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CR2;cr2;Image;Canon CR2 Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CRV;crv;Document;Corel Photo Paint Tone Curve File;ContentRecognizerCRV;Corel Photo Paint Tone Curve File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CRW;crw;Image;Canon CRW Raw Image;ContentRecognizerCanonCRW;Canon CRW;512;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CS1;cs1;Image;Sinar CS1 Image;ContentRecognizerPhotoShopData;PhotoShop Data;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CUR;cur;Other;Cursor;ContentRecognizerIconCursor;Windows Icon And Cursor;32;262144
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CV5;cv5;Image;Canvas;ContentRecognizerCV5;Canvas;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CVI;cvi;Document;CVI File;ContentRecognizerCVI;CVI File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: CWL;cwl;Document;ClarisWorks Library File;ContentRecognizerCWL;ClarisWorks Library File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DC2;dc2;Image;Kodak DC2;ContentRecognizerKodakDC2;Kodak DC2;512;16777216
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DCA;dca;Document;IBM Displaywrite;ContentRecognizerDCA;IBM Displaywrite;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DCR;dcr;Image;Kodak DCR Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DEB;deb;Archive;Debian package;ContentRecognizerUnixArchive;Unix ar Archive;32;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DLL;dll;Document;Dynamic Link Library;ContentRecognizerPortableExecutable;Portable Executable;4096;1073741824
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DLS;dls;Image;Downloadable Sound;ContentRecognizerResourceInterchangeFileFormat;Resource Interchange File Format;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DNG;dng;Image;Digital Negative;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DOC;doc;Document;Microsoft Word Document;ContentRecognizerOLEStream;Microsoft OLE Stream;512;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DOCX;docx;Document;Word Open XML Document;ContentRecognizerZIP;ZIP Archive;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DOT;dot;Document;Microsoft Word Template;ContentRecognizerOLEStream;Microsoft OLE Stream;512;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DRW;drw;Document;Micrografx Designer File;ContentRecognizerDRW;Micrografx Designer File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DS2;ds2;Audio;Digital Speech Standard 2;ContentRecognizerDigitalSpeechStandard;Digital Speech Standard;512;16777216
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DSN;dcn;Document;Microsoft ODBC Data Source;ContentRecognizerDSN;Microsoft ODBC Data Source;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DSS;dss;Audio;Digital Speech Standard;ContentRecognizerDigitalSpeechStandard;Digital Speech Standard;512;16777216
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DUN;dun;Document;Microsoft Dial-up Numbers;ContentRecognizerDUN;Microsoft Dial-up Numbers;256;1000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DWG;dwg;Document;AutoCAD Drawing;ContentRecognizerAutocadDrawing;AutoCAD Drawing;512;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: DXF;dxf;Document;AutoCAD Data Exchange File;ContentRecognizerDXF;AutoCAD Data Exchange File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: EBX;ebx;Document;Exceed Basic Compiler;ContentRecognizerEBX;Exceed Basic Compiler;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: ECF;ecf;Document;Microsoft Extension Configuration;ContentRecognizerECF;Microsoft Extension Configuration;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: EDB;edb;Document;Microsoft Exchange Server Database;ContentRecognizerEDB;Microsoft Exchange Server Database;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: EMF;emf;Image;Enhanced Metafile;ContentRecognizerWindowsMetaFile;Windows MetaFile;128;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: EPS;eps;Document;Encapsulated PostScript;ContentRecognizerPDF;Portable Document Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: ERF;erf;Image;Seiko Epson ERF Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: EXE;exe;Document;Executable;ContentRecognizerPortableExecutable;Portable Executable;4096;1073741824
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: EudoraMBX;mbx;Document;Eudora Mail File;ContentRecognizerEudoraMBX;Eudora Mail File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: ExifJPEG;jpg;Image;Exif JPEG;ContentRecognizerExifJPEG;Exif JPEG;512;33554432
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: F4A;f4a;Audio;Audio for Adobe Flash Player 9+;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: F4B;f4b;Audio;Audio Book for Adobe Flash Player 9+;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: F4P;f4p;Video;Protected Video for Adobe Flash Player 9+;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: F4V;f4v;Video;Video for Adobe Flash Player 9+;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: FFF;fff;Image;Hasselblad FFF Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: FFX;ffx;Document;Microsoft Full-text Index;ContentRecognizerFFX;Microsoft Full-text Index;512;128000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: FH3;fh3;Image;Aldus Freehand File;ContentRecognizerFH3;Aldus Freehand File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: FH8;fh8;Image;Aldus Freehand File;ContentRecognizerFH8;Aldus Freehand File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: FH9;fh9;Image;Aldus Freehand File;ContentRecognizerFH9;Aldus Freehand File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: FLV;flv;Video;Adobe FLV Video;ContentRecognizerFLV;Adobe FLV Video;512;2147483648
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: FM;fm;Document;FileMakes Pro;ContentRecognizerFM;FileMakes Pro;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: FM3;fm3;Document;Lotus 1-2-3 FM3;ContentRecognizerFM3;Lotus 1-2-3 FM3;128;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: FMB;fmb;Document;Lotus 1-2-3 FMB;ContentRecognizerFMB;Lotus 1-2-3 FMB;128;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: FTS1;fts;Document;Microsoft Full-Text Search Index;ContentRecognizerFTS1;Microsoft Full-Text Search Index;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: FTS2;fts;Document;Microsoft Full-Text Search Index;ContentRecognizerFTS2;Microsoft Full-Text Search Index;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: GIF;gif;Image;Graphical Interchange Format;ContentRecognizerGraphicsInterchangeFormat;Graphics Interchange Format;32;2097152
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: GenericJPEG;jpg;Image;Generic JPEG;ContentRecognizerGenericJPEG;Generic JPEG;512;33554432
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: HDR;hdr;Image;High Dynamic Range Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: HLP;hlp;Document;Microsoft Help File;ContentRecognizerHLP;Microsoft Help File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: HQX;hqx;Archive;OS/X BinHex Compressed File;ContentRecognizerHQX;OS/X BinHex Compressed File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: IA;ia;Image;Sinar IA Image;ContentRecognizerSinarIA;Sinar IA;512;268435456
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: ICM;icm;Document;Kodak Image Color Matching File;ContentRecognizerICM;Kodak Image Color Matching File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: ICO;ico;Other;Icon;ContentRecognizerIconCursor;Windows Icon And Cursor;32;262144
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: ICW;icw;Document;Microsoft Internet Connection Wizard;ContentRecognizerICW;Microsoft Internet Connection Wizard;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: IDF;idf;Document;MIDI Instrument Definition;ContentRecognizerIDF;MIDI Instrument Definition;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: IDX;idx;Document;Outlook Express Index File;ContentRecognizerIDX;Outlook Express Index File;512;128000000
